Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 21
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2044,IPv4,2026-02-10T18:31:01Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 135
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,892,IPv4,2026-02-10T18:30:57Z,TCP
0,2,1,"{
 ""IP"": ""192.168.52.129"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-02-10T18:31:01Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 3389
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,632,IPv4,2026-02-10T18:30:59Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 14148
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2044,IPv4,2026-02-10T18:31:01Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49664
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,680,IPv4,2026-02-10T18:30:57Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49665
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,524,IPv4,2026-02-10T18:30:57Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49666
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1060,IPv4,2026-02-10T18:30:59Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49667
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,804,IPv4,2026-02-10T18:30:59Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49668
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1968,IPv4,2026-02-10T18:31:00Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49669
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,660,IPv4,2026-02-10T18:31:01Z,TCP
0,2,1,"{
 ""IP"": ""192.168.52.129"",
 ""Port"": 49699
}","{
 ""IP"": ""192.168.52.138"",
 ""Port"": 1514
}",ESTAB,2224,IPv4,2026-02-10T18:33:03Z,TCP
0,2,1,"{
 ""IP"": ""192.168.52.129"",
 ""Port"": 49824
}","{
 ""IP"": ""4.241.22.149"",
 ""Port"": 443
}",ESTAB,5936,IPv4,2026-02-10T18:42:19Z,TCP
