Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
2100,filezilla-server.exe,IPv4,TCP,LISTEN,0.0.0.0,21,0.0.0.0,0,2026-02-19T14:18:11Z
904,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-02-19T14:18:03Z
4,System,IPv4,TCP,LISTEN,192.168.52.129,139,0.0.0.0,0,2026-02-19T14:18:10Z
388,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,3389,0.0.0.0,0,2026-02-19T14:18:08Z
2100,filezilla-server.exe,IPv4,TCP,LISTEN,0.0.0.0,14148,0.0.0.0,0,2026-02-19T14:18:11Z
684,lsass.exe,IPv4,TCP,LISTEN,0.0.0.0,49664,0.0.0.0,0,2026-02-19T14:18:03Z
528,wininit.exe,IPv4,TCP,LISTEN,0.0.0.0,49665,0.0.0.0,0,2026-02-19T14:18:03Z
1124,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49666,0.0.0.0,0,2026-02-19T14:18:07Z
392,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49667,0.0.0.0,0,2026-02-19T14:18:10Z
392,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,49668,0.0.0.0,0,2026-02-19T14:18:10Z
2024,spoolsv.exe,IPv4,TCP,LISTEN,0.0.0.0,49669,0.0.0.0,0,2026-02-19T14:18:10Z
664,services.exe,IPv4,TCP,LISTEN,0.0.0.0,49670,0.0.0.0,0,2026-02-19T14:18:12Z
2264,wazuh-agent.exe,IPv4,TCP,ESTAB,192.168.52.129,49878,192.168.52.138,1514,2026-02-19T14:34:31Z
2260,Velociraptor.exe,IPv4,TCP,ESTAB,192.168.52.129,49897,192.168.52.138,8000,2026-02-19T14:45:34Z
0,,IPv4,TCP,TIME_WAIT,192.168.52.129,49903,52.123.226.26,443,1601-01-01T00:00:00Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,445,0.0.0.0,0,2026-02-19T14:18:11Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,5357,0.0.0.0,0,2026-02-19T14:18:11Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,5985,0.0.0.0,0,2026-02-19T14:18:11Z
4,System,IPv4,TCP,LISTEN,0.0.0.0,47001,0.0.0.0,0,2026-02-19T14:18:11Z
