inode,State,uid,ProcessInfo,LocalAddr,LocalPort,RemoteAddr,RemotePort
" 215627",Listening," 0","{
 ""Pid"": 55946,
 ""Command"": ""wazuh-authd\n"",
 ""CommandLine"": ""/var/ossec/bin/wazuh-authd\u0000"",
 ""Filename"": ""socket:[215627]"",
 ""Type"": ""socket"",
 ""Inode"": ""215627""
}",0.0.0.0,1515,0.0.0.0,0
" 215725",Listening," 0","{
 ""Pid"": 56064,
 ""Command"": ""wazuh-remoted\n"",
 ""CommandLine"": ""/var/ossec/bin/wazuh-remoted\u0000"",
 ""Filename"": ""socket:[215725]"",
 ""Type"": ""socket"",
 ""Inode"": ""215725""
}",0.0.0.0,1514,0.0.0.0,0
" 216253",Listening," 123","{
 ""Pid"": 55907,
 ""Command"": ""python3\n"",
 ""CommandLine"": ""/var/ossec/framework/python/bin/python3\u0000/var/ossec/api/scripts/wazuh-apid.py\u0000"",
 ""Filename"": ""socket:[216253]"",
 ""Type"": ""socket"",
 ""Inode"": ""216253""
}",0.0.0.0,55000,0.0.0.0,0
" 19140",Listening," 0","{
 ""Pid"": 1,
 ""Command"": ""systemd\n"",
 ""CommandLine"": ""/sbin/init\u0000splash\u0000"",
 ""Filename"": ""socket:[19140]"",
 ""Type"": ""socket"",
 ""Inode"": ""19140""
}",0.0.0.0,22,0.0.0.0,0
" 266457",Listening," 126","{
 ""Pid"": 59776,
 ""Command"": ""node\n"",
 ""CommandLine"": ""/usr/share/wazuh-dashboard/node/bin/node\u0000--no-warnings\u0000--max-http-header-size=65536\u0000--unhandled-rejections=warn\u0000/usr/share/wazuh-dashboard/src/cli/dist\u0000-c\u0000/etc/wazuh-dashboard/opensearch_dashboards.yml\u0000"",
 ""Filename"": ""socket:[266457]"",
 ""Type"": ""socket"",
 ""Inode"": ""266457""
}",0.0.0.0,443,0.0.0.0,0
" 760515",Listening," 0","{
 ""Pid"": 67858,
 ""Command"": ""velociraptor\n"",
 ""CommandLine"": ""./velociraptor\u0000--config\u0000/tmp/gui_datastore/server.config.yaml\u0000gui\u0000"",
 ""Filename"": ""socket:[760515]"",
 ""Type"": ""socket"",
 ""Inode"": ""760515""
}",127.0.0.1,8003,0.0.0.0,0
" 760512",Listening," 0","{
 ""Pid"": 67858,
 ""Command"": ""velociraptor\n"",
 ""CommandLine"": ""./velociraptor\u0000--config\u0000/tmp/gui_datastore/server.config.yaml\u0000gui\u0000"",
 ""Filename"": ""socket:[760512]"",
 ""Type"": ""socket"",
 ""Inode"": ""760512""
}",127.0.0.1,8001,0.0.0.0,0
" 760523",Listening," 0","{
 ""Pid"": 67858,
 ""Command"": ""velociraptor\n"",
 ""CommandLine"": ""./velociraptor\u0000--config\u0000/tmp/gui_datastore/server.config.yaml\u0000gui\u0000"",
 ""Filename"": ""socket:[760523]"",
 ""Type"": ""socket"",
 ""Inode"": ""760523""
}",127.0.0.1,8000,0.0.0.0,0
" 25000",Listening," 0","{
 ""Pid"": 1422,
 ""Command"": ""containerd\n"",
 ""CommandLine"": ""/usr/bin/containerd\u0000"",
 ""Filename"": ""socket:[25000]"",
 ""Type"": ""socket"",
 ""Inode"": ""25000""
}",127.0.0.1,41149,0.0.0.0,0
" 19664",Listening," 991","{
 ""Pid"": 674,
 ""Command"": ""systemd-resolve\n"",
 ""CommandLine"": ""/usr/lib/systemd/systemd-resolved\u0000"",
 ""Filename"": ""socket:[19664]"",
 ""Type"": ""socket"",
 ""Inode"": ""19664""
}",127.0.0.53,53,0.0.0.0,0
